rank,composition,n_pred,nu_pred,PbO,distance_to_training,family,method
1,BAO=0.92; R2O3=5.86; R2O5=46.60; SIO2=46.36,2.1091089248657227,34.36714172363281,0.0,0.4901271273488303,uncertain,NSGA-II
2,R2O3=3.96; R2O5=47.27; SIO2=45.78; TIO2=1.98,2.1176869869232178,31.276195526123047,0.0,0.5161021010478465,uncertain,NSGA-II
3,BAO=0.89; MgO=0.68; R2O5=48.92; SIO2=48.67,2.043176651000977,32.234153747558594,0.0,0.4200090657687933,uncertain,NSGA-II
4,BAO=0.86; R2O3=10.05; R2O5=45.20; SIO2=41.43; TIO2=0.96; ZNO=0.56,2.093524932861328,30.625736236572266,0.0,0.7084384028429229,uncertain,NSGA-II
5,B2O3=0.60; R2O3=52.64; R2O5=23.82; RO2=4.10; SIO2=17.81,1.9917916059494016,37.09837341308594,0.0,0.5066917631217244,uncertain,NSGA-II
6,GEO2=0.79; R2O5=48.90; SIO2=47.94; SRO=0.57; WO3=0.62,1.9642211198806765,37.77565002441406,0.0,0.440793611626952,uncertain,NSGA-II
7,BAO=1.46; NA2O=0.61; R2O3=8.66; R2O5=50.20; RO2=0.91; SIO2=29.66; TIO2=7.29; ZNO=0.52,2.153239250183105,22.28696060180664,0.0,1.1064434452346692,uncertain,NSGA-II
8,GEO2=3.05; MgO=0.58; R2O3=27.92; R2O5=47.72; SIO2=5.89; TIO2=6.04; ZRO2=8.19,2.188075542449951,17.957618713378906,0.0,1.5220203725397905,lanthanum,NSGA-II
9,B2O3=20.27; Li2O=5.43; R2O3=36.24; R2O5=4.92; RO=2.45; RO2=9.60; SIO2=9.23; TIO2=2.69; ZNO=3.17; ZRO2=5.85,1.8434454202651975,39.31081771850586,0.0,0.539669168824397,uncertain,cWGAN-GP
10,B2O3=18.87; Li2O=4.51; R2O3=36.87; R2O5=7.24; RO2=10.25; SIO2=11.62; TIO2=1.73; ZRO2=8.00,1.8610737323760984,39.02067947387695,0.0,0.5929406529285849,lanthanum,cWGAN-GP
